 100 10 120
0 2 62 5
1 80 25 8
2 36 88 2
3 57 23 8
4 33 17 18
5 76 43 20
6 77 85 17
7 94 6 9
8 89 11 1
9 59 72 19
10 39 82 10
11 87 24 20
12 44 76 4
13 2 83 5
14 19 43 5
15 5 27 14
16 58 72 19
17 14 50 19
18 43 18 4
19 87 7 16
20 11 56 14
21 31 16 13
22 51 94 18
23 55 13 14
24 84 57 13
25 12 2 13
26 53 33 14
27 53 10 7
28 33 32 15
29 69 67 3
30 43 5 6
31 10 75 10
32 8 26 20
33 3 1 13
34 96 22 7
35 6 48 3
36 59 22 18
37 66 69 13
38 22 50 14
39 75 21 7
40 4 81 8
41 41 97 16
42 92 34 18
43 12 64 9
44 60 84 8
45 35 100 12
46 38 2 19
47 9 9 13
48 54 59 19
49 1 58 12
50 15 66 5
51 3 66 2
52 94 10 7
53 68 30 4
54 35 27 12
55 46 86 13
56 11 29 5
57 100 17 19
58 70 55 7
59 94 73 1
60 75 16 12
61 62 65 17
62 21 80 4
63 11 31 3
64 70 81 19
65 15 13 10
66 58 69 6
67 100 62 10
68 47 42 11
69 28 87 19
70 31 96 12
71 41 2 2
72 37 22 18
73 1 34 6
74 44 9 12
75 58 7 17
76 44 37 20
77 18 3 16
78 3 87 16
79 1 77 7
80 95 72 16
81 10 66 15
82 28 94 16
83 45 26 19
84 68 62 13
85 41 86 15
86 41 30 11
87 8 99 18
88 78 55 4
89 10 30 12
90 13 62 16
91 95 24 19
92 50 77 1
93 78 20 3
94 87 67 10
95 45 19 13
96 36 90 6
97 4 31 7
98 70 56 1
99 18 34 5
